Username,Team,Age_Range,Gender,Grade,Travel_Time,Special_Feature
28156,Locomotor Mortis,40-49,Female,B,0-29,
12431,Diffindo,30-39,Male,B,120-149,
28216,Diffindo,40-49,Male,B,0-29,
19363,Mobilicorpus,60>,Female,B,120-149,
10201,Mobilicorpus,40-49,Female,B,0-29,
22781,Mobilicorpus,30-39,Female,B,90-119,
28565,Deprimo,40-49,Female,B,180+,
23276,Fidelius Charm,50-59,Male,B,180+,
24211,Impedimenta,40-49,Male,B,150-179,
13920,Confundo,40-49,NULL,B,120-149,
10826,Geminio,40-49,Male,B,60-89,
17085,Confringo,30-39,Male,B,30-59,
18184,Confringo,30-39,Male,B,0-29,
20482,Confringo,40-49,Male,B,180+,
15274,Reducto,40-49,Male,B,0-29,
11260,Duro,50-59,Female,B,0-29,
14319,Locomotor Mortis,30-39,Female,B,0-29,
13209,Diffindo,50-59,Male,B,60-89,
13944,Levicorpus,30-39,Female,B,180+,
12087,Defodio,40-49,Male,B,0-29,
17103,Impedimenta,30-39,Male,B,90-119,
21194,Impedimenta,40-49,NULL,B,30-59,
11463,Confringo,50-59,Male,B,0-29,
20087,Confringo,30-39,Female,B,30-59,
14227,Confringo,20-29,Male,B,120-149,
15775,Confringo,60>,Female,B,30-59,
22859,Mobilicorpus,50-59,Female,B,30-59,
22042,Sonorus,30-39,Male,B,180+,
19491,Imperio,50-59,Female,B,30-59,
22198,Mobilicorpus,50-59,Female,B,30-59,
18226,Mobilicorpus,60>,Male,B,30-59,
20987,Locomotor Mortis,50-59,Male,B,60-89,
28567,Locomotor Mortis,50-59,Male,B,60-89,
13148,Confringo,40-49,Male,B,60-89,
12495,Duro,50-59,Female,B,0-29,
23442,Impedimenta,40-49,Female,B,30-59,
10354,Aparecium,40-49,Female,B,180+,
21098,Impedimenta,40-49,Male,B,90-119,
23095,Impedimenta,40-49,Male,B,60-89,
26058,Aparecium,50-59,Female,B,60-89,
13348,Deprimo,40-49,Female,B,30-59,
22621,Deprimo,50-59,Male,B,90-119,
21807,Deprimo,50-59,Male,B,30-59,
10807,Deprimo,40-49,Female,B,180+,
26674,Impedimenta,40-49,Female,B,180+,
50684,Piertotum Locomotor,40-49,NULL,B,90-119,
21867,Fidelius Charm,30-39,Female,B,30-59,
23750,Confringo,40-49,Male,B,30-59,
10482,Duro,60>,Male,B,30-59,
15175,Sonorus,30-39,Male,B,60-89,
50288,Sonorus,40-49,Female,B,30-59,
22689,Geminio,40-49,NULL,B,0-29,
19342,Fidelius Charm,40-49,Male,B,30-59,
27992,Fidelius Charm,40-49,Male,B,0-29,
19191,Mobilicorpus,30-39,Male,B,30-59,
10176,Sonorus,40-49,Male,B,180+,
12980,Confringo,50-59,Male,B,60-89,
28936,Fidelius Charm,50-59,Male,B,60-89,
13396,Anapneo,40-49,Female,B,180+,
15466,Locomotor Mortis,40-49,Female,B,0-29,
19767,Confringo,30-39,Female,B,30-59,
24968,Reducto,50-59,Female,B,180+,
24364,Confringo,50-59,Male,B,180+,
27205,Confringo,40-49,Male,B,60-89,
28266,Locomotor Mortis,40-49,Male,B,60-89,
11351,Mobilicorpus,40-49,Female,B,150-179,
26630,Aparecium,40-49,NULL,B,0-29,
13722,Deprimo,30-39,Male,B,30-59,
10473,Impedimenta,50-59,Male,B,30-59,
12116,Sonorus,50-59,Male,B,120-149,
11911,Duro,50-59,Male,B,150-179,
28396,Impedimenta,30-39,Male,B,60-89,
26458,Imperio,50-59,Female,B,0-29,
10996,Impedimenta,40-49,Female,B,30-59,
23694,Fidelius Charm,60>,Male,B,0-29,
24260,Aparecium,40-49,Female,B,120-149,
20089,Mobilicorpus,60>,Male,B,60-89,
18652,Fidelius Charm,40-49,Male,B,150-179,
22546,Impedimenta,20-29,Male,B,180+,
12415,Confringo,30-39,Male,B,60-89,
22161,Imperio,60>,Male,B,90-119,
20490,Meteolojinx Recanto,50-59,Female,B,30-59,
24888,Nox,40-49,Female,B,30-59,
15864,Sonorus,40-49,Female,B,150-179,
26198,Deprimo,50-59,Male,B,30-59,
12492,Sonorus,30-39,Male,B,180+,
26881,Fidelius Charm,60>,Male,B,180+,
13703,Locomotor Mortis,30-39,Female,B,120-149,
18200,Confringo,40-49,NULL,B,0-29,
12343,Deprimo,40-49,Male,B,0-29,
50048,Sonorus,40-49,Female,B,30-59,
18033,Mobilicorpus,20-29,Male,B,30-59,
15867,Fidelius Charm,30-39,Male,B,0-29,
23016,Impedimenta,40-49,Female,B,120-149,
23709,Avada Kedavra,50-59,Male,B,90-119,
18596,Anapneo,60>,Male,B,60-89,
21135,Defodio,40-49,Male,B,90-119,
13999,Sonorus,40-49,Male,B,150-179,
23176,Aparecium,50-59,Female,B,30-59,
20338,Defodio,50-59,Female,B,30-59,
13290,Locomotor Mortis,30-39,Male,B,150-179,
19684,Duro,30-39,Male,B,0-29,
18956,Levicorpus,40-49,Male,B,60-89,
25386,Impedimenta,50-59,Female,B,0-29,
15867,Fidelius Charm,40-49,Male,B,0-29,
14372,Fidelius Charm,30-39,Female,B,30-59,
19700,Mobilicorpus,30-39,Male,B,180+,
22512,Deprimo,50-59,Male,B,0-29,
13348,Deprimo,50-59,Female,B,0-29,
25939,Fidelius Charm,50-59,Male,B,120-149,
20459,Protego Totalum,40-49,Male,B,120-149,
14127,Locomotor Mortis,20-29,Male,B,60-89,
13155,Confringo,50-59,Male,B,180+,
13999,Sonorus,40-49,Male,B,150-179,
23534,Avada Kedavra,50-59,Male,B,120-149,
12495,Duro,50-59,Female,B,150-179,
13396,Confundo,40-49,Female,B,30-59,
28266,Locomotor Mortis,40-49,Male,B,0-29,
11213,Mobilicorpus,40-49,Male,B,150-179,
24259,Impedimenta,50-59,Male,B,120-149,
18225,Deprimo,30-39,Female,B,0-29,
17923,Impedimenta,30-39,Male,B,60-89,
12087,Defodio,50-59,Male,B,30-59,
22027,Confringo,30-39,Female,B,30-59,
11038,Deprimo,50-59,Female,B,60-89,
20482,Confringo,50-59,Male,B,90-119,
21966,Sonorus,50-59,Male,B,30-59,
19419,Impedimenta,60>,Male,B,30-59,
27992,Fidelius Charm,50-59,Male,B,180+,Reduced Light
10880,Sonorus,50-59,Female,B,180+,
18498,Liberacorpus,60>,Female,B,150-179,
21199,Mobilicorpus,40-49,Female,B,180+,
18510,Sonorus,60>,Female,B,0-29,
18120,Confringo,40-49,NULL,B,120-149,
11296,Mobilicorpus,50-59,Male,B,30-59,
28164,Mobilicorpus,50-59,Male,B,30-59,
18088,Impedimenta,50-59,Female,B,60-89,
14707,Confringo,40-49,Female,B,60-89,
19450,Sonorus,50-59,Female,B,150-179,
24458,Avada Kedavra,50-59,Female,B,60-89,
10197,Mobilicorpus,60>,Male,B,30-59,
27771,Aparecium,40-49,Male,B,0-29,
18865,Impedimenta,60>,Male,B,60-89,
10649,Confringo,50-59,Male,B,0-29,
10391,Sonorus,50-59,Female,B,0-29,
25021,Aparecium,50-59,Female,B,150-179,
21448,Confringo,50-59,Male,B,180+,
13606,Duro,30-39,Male,B,0-29,
12560,Erecto,50-59,Male,B,0-29,
23098,Duro,20-29,Male,B,150-179,
10617,Confringo,50-59,Male,B,90-119,
24511,Deprimo,40-49,Female,B,30-59,
20459,Scourgify,40-49,Male,B,120-149,
21355,Sonorus,50-59,Female,B,30-59,
18836,Deprimo,50-59,Female,B,30-59,
22047,Aparecium,50-59,Female,B,60-89,
21194,Deprimo,40-49,NULL,B,120-149,
18088,Deprimo,50-59,Female,B,150-179,
24888,Reparo,40-49,Female,B,30-59,Standing Desk
27859,Deprimo,30-39,Female,B,180+,
28396,Deprimo,30-39,Male,B,0-29,
23606,Scourgify,50-59,Male,B,150-179,
19984,Deprimo,60>,Female,B,0-29,
25202,Sonorus,50-59,Male,B,30-59,
20671,Deprimo,40-49,Female,B,90-119,
12343,Oppugno,40-49,Male,B,30-59,
11430,Scourgify,50-59,Female,B,60-89,
18225,Oppugno,30-39,Female,B,0-29,
17923,Deprimo,30-39,Male,B,90-119,
21098,Deprimo,40-49,Male,B,0-29,
23095,Deprimo,40-49,Male,B,120-149,
10598,Oppugno,40-49,Male,B,60-89,
23016,Deprimo,40-49,Female,B,0-29,
24259,Deprimo,50-59,Male,B,0-29,
26674,Deprimo,40-49,Female,B,30-59,
19419,Deprimo,60>,Male,B,30-59,
23612,Deprimo,40-49,Male,B,90-119,
10473,Deprimo,50-59,Male,B,60-89,
17103,Deprimo,30-39,Male,B,90-119,
23442,Deprimo,40-49,Female,B,60-89,
22897,Reducto,30-39,Female,B,0-29,
18495,Scourgify,50-59,Female,B,30-59,
23197,Scourgify,50-59,Female,B,120-149,
24458,Scourgify,50-59,Female,B,150-179,
18057,Deprimo,30-39,Male,B,90-119,
10996,Deprimo,40-49,Female,B,60-89,
22546,Deprimo,20-29,Male,B,0-29,
24211,Deprimo,40-49,Male,B,30-59,
26357,Aparecium,50-59,Female,B,120-149,
13267,Meteolojinx Recanto,40-49,Male,B,60-89,
27544,Wingardium Leviosa,40-49,Male,B,150-179,
23606,Engorgio,50-59,Male,B,0-29,
24458,Glisseo,50-59,Female,B,60-89,
11430,Engorgio,50-59,Female,B,150-179,
14386,Glisseo,60>,Female,B,0-29,
23197,Engorgio,50-59,Female,B,30-59,
18495,Engorgio,50-59,Female,B,0-29,
13944,Mobilicorpus,30-39,Female,B,60-89,
13493,Glisseo,40-49,Female,B,30-59,
23534,Glisseo,50-59,Male,B,30-59,
23709,Glisseo,50-59,Male,B,120-149,
26604,Mobilicorpus,50-59,Female,B,150-179,
20459,Engorgio,40-49,Male,B,0-29,
20799,Deprimo,50-59,Female,B,0-29,
13307,Locomotor Mortis,30-39,Female,B,90-119,
17872,Mobilicorpus,40-49,Male,B,30-59,
24458,Confundo,50-59,Female,B,60-89,
20323,Locomotor Mortis,40-49,Male,B,30-59,
17980,Sonorus,20-29,Male,B,30-59,
10517,Confringo,20-29,Male,B,120-149,
24935,Confringo,50-59,Female,B,30-59,
27771,Aparecium,40-49,Male,B,180+,
24259,Deprimo,40-49,Male,B,150-179,
20459,Engorgio,30-39,Male,B,0-29,
17923,Deprimo,30-39,Male,B,30-59,
10864,Oppugno,50-59,Male,B,180+,
10752,Wingardium Leviosa,40-49,Male,B,0-29,
18032,Sonorus,30-39,Female,B,30-59,
22661,Deprimo,50-59,Female,B,0-29,
26331,Aguamenti,50-59,Female,B,30-59,
21544,Imperio,50-59,Male,B,180+,
10239,Sonorus,50-59,Male,B,0-29,
24098,Evanesco,40-49,Male,B,60-89,Near Window
12702,Sonorus,40-49,Female,B,180+,
14308,Geminio,20-29,Male,B,30-59,
21135,Liberacorpus,40-49,Male,B,150-179,
13721,Sonorus,40-49,Male,B,60-89,
19551,Mobilicorpus,30-39,Male,B,180+,
20560,Locomotor Mortis,20-29,Male,B,0-29,
20383,Sonorus,30-39,Male,B,120-149,
